n,m,l,S,mean,ci_low,ci_high,std,ci_rel
16,2,3,0.95,0.002701821271330118,0.0026090338360518217,0.002791882958263159,4.8001475079217926e-05,0.06767624644590932
16,2,4,0.85,0.01476898230612278,0.0146119873970747,0.014989879913628101,9.693508764030412e-05,0.025586902924024695
16,2,4,0.9,0.008231723681092262,0.008117865771055222,0.00838396791368723,7.441532943630591e-05,0.03232641824982865
16,2,4,0.95,0.002471225569024682,0.002393885748460889,0.00255560758523643,4.1718914872035384e-05,0.06544195673702422
16,4,1,0.85,0.02199449948966503,0.021765876561403275,0.0222238190472126,0.0001202944404212758,0.020820773213071214
16,4,1,0.9,0.013555217534303665,0.013392883352935314,0.013744638301432133,9.237363701686263e-05,0.025949782628470985
16,4,1,0.95,0.00520149664953351,0.005073346197605133,0.005334645509719849,6.54467148706317e-05,0.050235409098677374
16,4,2,0.85,0.01003270037472248,0.009868665598332882,0.010171113535761833,8.330383570864797e-05,0.030146214491860314
16,4,2,0.9,0.00539445923641324,0.005311056971549988,0.005500767845660448,5.594657704932615e-05,0.03516772781039652
16,4,2,0.95,0.001819321420043707,0.0017498681554570794,0.0019042809726670384,4.032495053252205e-05,0.08487385214551559
16,4,3,0.85,0.007624552585184574,0.007485370617359877,0.007744051516056061,6.752098124707118e-05,0.03392735453078681
16,4,3,0.9,0.0038149303290992975,0.0037446082569658756,0.0038850565906614065,4.339345468906686e-05,0.03681543870519141
16,4,3,0.95,0.0009873118251562119,0.0009352752240374684,0.0010564331896603107,2.8736068998114206e-05,0.12271499493452616
16,4,4,0.85,0.006679277401417494,0.006564374081790447,0.00683567626401782,6.36859840597026e-05,0.04061849297796745
16,4,4,0.9,0.0033149756491184235,0.0032436910551041365,0.0033921892754733562,4.246658500051126e-05,0.04479617230633686
16,4,4,0.95,0.0008122230647131801,0.0007712821243330836,0.000870079209562391,2.5734594601090066e-05,0.12163787205943921
16,8,1,0.85,0.0036918707191944122,0.0035805106163024902,0.003806241089478135,6.242955714697018e-05,0.06114257251805951
16,8,1,0.9,0.0016220276011154056,0.0015451442450284958,0.0017207174096256495,4.6113927965052426e-05,0.10824301909315155
16,8,1,0.95,0.0004005175724159926,0.0003698362852446735,0.00044728521606884897,2.0696039428003132e-05,0.19337211687614572
16,8,2,0.85,0.003104767994955182,0.003003723919391632,0.0032087736763060093,5.266475636744872e-05,0.066043503813346
16,8,2,0.9,0.001418529311195016,0.0013551147421821952,0.0014800659846514463,3.081800969084725e-05,0.08808506210138732
16,8,2,0.95,0.00012190662528155372,0.00011275190627202392,0.00013151278835721314,4.981925485481042e-06,0.1538955084833115
16,8,3,0.85,0.0021283989772200584,0.0020567080937325954,0.002193976892158389,3.76361895177979e-05,0.06449392237778792
16,8,3,0.9,0.0005966429016552866,0.000564094225410372,0.0006263774703256786,1.564780541229993e-05,0.10438948446803283
16,8,3,0.95,5.9202266129432246e-05,5.102777504362166e-05,6.833385850768536e-05,4.553795861284016e-06,0.2923213011175603
16,8,4,0.85,0.00190449389629066,0.0018390301847830415,0.0019743533339351416,3.616002868511714e-05,0.0710546510102584
16,8,4,0.9,0.00021733592438977212,0.00020511489128693938,0.0002346694382140413,7.560086942248745e-06,0.13598555788733083
16,8,4,0.95,3.3031155908247456e-05,2.7052617951994762e-05,3.8973037590039894e-05,3.016426717294962e-06,0.3608841201669469
32,16,1,0.85,0.0037434487603604794,0.0036445395089685917,0.0038321393076330423,4.410612746141851e-05,0.050114162280235276
32,16,1,0.9,0.0016920025227591395,0.0016403943300247192,0.0017407388659194112,2.838847467501182e-05,0.05930519283804651
32,16,1,0.95,0.0004211895284242928,0.0003927888465113938,0.00045392956235446036,1.551690547785256e-05,0.14516200360393428
32,16,2,0.85,0.0034095568116754293,0.0033410536125302315,0.003476695856079459,3.7198809877736494e-05,0.03978295451325071
32,16,2,0.9,0.0006239317590370774,0.0006058173603378236,0.0006424444727599621,9.467626114201266e-06,0.05870371541699622
32,16,2,0.95,0.00012308770965319127,0.00011396018089726567,0.00013127709098625928,4.874158548773266e-06,0.1406875644837757
32,16,3,0.85,0.0030140401795506477,0.00295396544970572,0.003073308849707246,3.300743264844641e-05,0.03959582251465485
32,16,3,0.9,0.0002195139677496627,0.00020991373457945883,0.00022947342949919403,4.851796802540775e-06,0.08910455731018169
32,16,3,0.95,4.155164788244292e-05,3.806626773439348e-05,4.520169386523776e-05,1.90747687156545e-06,0.17172426352455822
32,16,4,0.85,0.0027636841405183077,0.0027101323939859867,0.0028165881521999836,3.0433855499722995e-05,0.038519509756289275
32,16,4,0.9,0.00014051416656002402,0.00013592283357866108,0.00014572909276466817,2.8199415282870177e-06,0.06978840230901631
