n,m,l,S,nonlinear_gain,linearity_score,mse_full,mse_linear,gain_mean,gain_std,steps_used,steps_mean,converged,n_converged,n_seeds,n_runs
64,4,3,0.95,0.753316342830658,0.5540171265602112,0.007063195109367371,0.0286326315253973,0.7045237018216041,0.07187287930470958,24000,40807.12903225807,True,25,31,3
64,4,4,0.85,0.6093235015869141,0.4040071964263916,0.0220046229660511,0.05632442235946655,0.5735720511405699,0.02814861949716882,24000,50565.1935483871,True,25,31,3
64,4,4,0.9,0.7058072090148926,0.6179440021514893,0.01178817916661501,0.040069594979286194,0.6458603236824274,0.08596137887473775,24000,67578.8125,True,25,32,4
64,4,4,0.95,0.8366442322731018,0.5499961376190186,0.006422095466405153,0.03931361064314842,0.615566021973087,0.16857973424298942,24000,50323.25806451613,True,26,31,3
64,8,1,0.85,6.769341780454852e-07,1.0,0.0330190435051918,0.033019065856933594,8.164829902549779e-08,3.220451048117612e-07,20000,12933.4,False,9,15,3
64,8,1,0.9,5.198210715207097e-07,1.0,0.02149943634867668,0.021499447524547577,-1.7631907193541945e-08,3.6384890180220627e-07,20000,12933.4,False,9,15,3
64,8,1,0.95,0.0,1.0,0.009879623539745808,0.009879623539745808,-4.754284835447227e-08,1.3521006529151054e-06,8000,12933.4,True,9,15,3
64,8,2,0.85,0.9106472134590149,0.7092172503471375,0.02184664085507393,0.2444988191127777,0.8606052889790333,0.11597734154104183,80000,51338.18309859155,True,69,71,5
64,8,2,0.9,0.9772852659225464,0.7269701957702637,0.011915256269276142,0.524560809135437,0.9350940266125639,0.0731594536069539,48000,50281.84507042253,True,71,71,5
64,8,2,0.95,0.9920048117637634,0.7567412257194519,0.004429248161613941,0.5539841055870056,0.9837291822200869,0.016150060941120908,24000,52744.170731707316,True,39,41,4
64,8,3,0.85,0.8937734365463257,0.6353781223297119,0.015852153301239014,0.14922980964183807,0.8038546690126744,0.1953877395441485,24000,60731.9756097561,True,38,41,4
64,8,3,0.9,0.965110182762146,0.7324646711349487,0.007364928722381592,0.21109159290790558,0.8542540408670902,0.2191001989102316,24000,71309.80952380953,True,39,42,5
64,8,3,0.95,0.9958862066268921,0.8018584251403809,0.00310303526930511,0.7542920112609863,0.8663935913807816,0.18375443481789128,48000,58611.27777777778,True,68,72,6
64,8,4,0.85,0.9322779178619385,0.5850486755371094,0.010828403756022453,0.15989497303962708,0.6241615614077697,0.3401909827562438,144000,101054.75,True,189,192,10
64,8,4,0.9,0.9368793964385986,0.7790950536727905,0.005557393655180931,0.08804422616958618,0.5221515345167265,0.40527327264538104,144000,109548.77777777778,True,68,72,6
64,8,4,0.95,0.9964383244514465,0.8002753257751465,0.0027822714764624834,0.7811782360076904,0.3980762386688314,0.4050033320491987,24000,84583.61904761905,True,39,42,5
64,16,1,0.85,8.368862580709902e-08,1.0,0.022256838157773018,0.022256840020418167,-2.902160431972334e-07,5.210571524240706e-07,20000,12933.4,False,9,15,3
