n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
32,4,3,0.85,0.013433838500976562,0.019792728271484372,0.5956898408140414
32,4,3,0.9,0.008858730621337891,0.013292254486083984,0.6000750947022352
32,4,3,0.95,0.004070582962036133,0.006545371017456055,0.6165598522846226
32,4,4,0.85,0.01003817413330078,0.023188392639160154,0.6978871093711467
32,4,4,0.9,0.00535391357421875,0.016797071533203124,0.7582990757180873
32,4,4,0.95,0.003221195755004883,0.007394758224487305,0.6965702977586788
32,8,1,0.85,0.022044605102539062,0.0,0.0
32,8,1,0.9,0.012568448486328125,0.0,0.0
32,8,1,0.95,0.0042835071563720704,0.0,0.0
32,8,2,0.85,0.010038754272460938,0.012005850830078124,0.5446162802297289
32,8,2,0.9,0.004844983749389648,0.007723464736938477,0.614512184645544
32,8,2,0.95,0.0017037806701660156,0.0025797264862060547,0.6022463350781377
32,8,3,0.85,0.006543130493164063,0.015501474609375,0.7031867677951539
32,8,3,0.9,0.0025641340637207032,0.010004314422607422,0.795986428515027
32,8,3,0.95,0.001259603500366211,0.0030239036560058595,0.7059410771632664
32,8,4,0.85,0.004666667404174805,0.01737793769836426,0.7883079609515298
32,8,4,0.9,0.0019650474548339844,0.01060340103149414,0.8436523444423908
32,8,4,0.95,0.0005461977195739746,0.003737309436798096,0.8724881972564327
32,16,1,0.85,0.003728441009521484,0.0,0.0
32,16,1,0.9,0.0016740999221801758,0.0,0.0
32,16,1,0.95,0.0004198667812347412,0.0,0.0
32,16,2,0.85,0.003428355484008789,0.0003000855255126953,0.08048552323782343
32,16,2,0.9,0.000619426851272583,0.0010546730709075928,0.6299940982818367
32,16,2,0.95,0.00012249504566192628,0.00029737173557281495,0.7082525907343903
32,16,3,0.85,0.003042730178833008,0.0006857108306884763,0.18391355232316842
32,16,3,0.9,0.0002201979160308838,0.001453902006149292,0.8684678775063076
32,16,3,0.95,3.495276153087616e-05,0.00038491401970386504,0.9167527342170597
