m,l,compression_ratio_first,top1_var_mean,top1_var_std,gini_concentration_mean,gini_concentration_std,effective_dim_ratio_mean,effective_dim_ratio_std,nonlinear_gain_mean,nonlinear_gain_std,linearity_score_mean,linearity_score_std,mse_full_mean,mse_full_std
16,3,4.0,0.11629157016674678,0.009777023130217836,-0.24744145075480142,0.024092107129418363,0.9008222421010336,0.01728418500734694,-0.0001545182335152977,0.00010903315828268805,0.9947948528764149,0.0007885658537666502,0.027167867248257,0.0005533335969719962
16,4,4.0,0.1724084069331487,0.060716440375113596,-0.3741277853647868,0.11513432638078348,0.7841678659121195,0.12035520504979534,3.8573479936800295e-05,0.0003925742308294454,0.9905324570524195,0.004847771250141254,0.029337201888362568,0.0005408633436829189
24,1,2.6666666666666665,0.07175612946351369,0.00589652057766178,-0.1402369737625122,0.00736693816619851,0.9669483502705892,0.005087625162198276,-0.002153251028919053,0.0002712503069333702,0.9965626780564586,0.00019380120728758907,0.019625330964724224,0.00013843211220441733
24,2,2.6666666666666665,0.0912299354871114,0.02192080944922398,-0.20695847272872925,0.04359995552012882,0.9278699821896023,0.03046412784950057,-0.0009606621690779828,0.00029642328906356234,0.9971031247793386,0.00045520840501013293,0.02308054578800996,0.000647832096342412
24,3,2.6666666666666665,0.11040251702070236,0.0363499446176184,-0.26539884010950726,0.02740106240656748,0.8862233426835803,0.03231428289718712,-0.00014076636418934647,0.0004309963910309987,0.9948251851213475,0.00048214520372479686,0.02733444795012474,0.0004267867994714899
24,4,2.6666666666666665,0.10234066843986511,0.02568390963500549,-0.37175071239471436,0.10413245319388599,0.784219847785102,0.10213010627911151,2.8871410137217728e-05,0.0004047140285273664,0.9902577257404724,0.0018702711708879671,0.029458203663428623,0.0009469577787068847
32,1,2.0,0.06425679350892703,0.009756468630166559,-0.1415574550628662,0.013041098148255126,0.9644682010014852,0.007304143634739197,-0.0031024847658131815,0.0002867841437697043,0.9965670163898418,0.0003245257626343703,0.01718081658085187,0.0004025867259939231
32,2,2.0,0.06646258632342021,0.009891346463345222,-0.22563183307647705,0.017220260009943398,0.9206846356391907,0.01343030848325228,-0.0011441788831124133,0.00011917316334648311,0.9969860051448146,8.816651686992229e-05,0.02278441439072291,0.0007274944481344859
32,3,2.0,0.09907249361276627,0.024090364395401524,-0.31729745864868164,0.018903214027802952,0.8428622881571451,0.009615380113546948,-0.00025696509699137154,0.00018922003492807384,0.9953189596223334,0.00043250012382537096,0.02716352107624213,0.0006432485159014378
32,4,2.0,0.11631797005732854,0.010328812116988634,-0.37069791555404663,0.017709597369758676,0.7936473488807678,0.012769101945251974,0.00042564558507212263,0.0003920487356723733,0.9914128263480961,0.0017173252705878009,0.02895813932021459,0.0004514014321135015
