n,m,l,sparsity,seed,final_loss,compression_ratio,top1_var,top2_var,top4_var,tophalf_var,gini_concentration,effective_dim,effective_dim_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain
64,12,4,0.1,0,0.029401442632079125,5.333333333333333,0.2931567132472992,0.39193764328956604,0.566335916519165,0.7783223390579224,-0.3369055986404419,9.459348678588867,0.7882790565490723,0.9938261867500842,0.029290976002812386,0.029289361089468002,-5.5136497791307546e-05
64,12,4,0.1,1,0.02898742388933897,5.333333333333333,0.2562583088874817,0.3981529474258423,0.599631667137146,0.8226641416549683,-0.37071216106414795,9.504756927490234,0.7920630772908529,0.9924093997105956,0.028769493103027344,0.02876761183142662,-6.539545089083828e-05
64,12,4,0.1,2,0.02923782967031002,5.333333333333333,0.19464989006519318,0.33791542053222656,0.5795683264732361,0.84486323595047,-0.35972434282302856,9.661168098449707,0.8050973415374756,0.9898620825260878,0.028736086562275887,0.028750617057085037,0.0005053974920373062
64,16,1,0.1,0,0.023084190376102924,4.0,0.07754792273044586,0.1524273157119751,0.2940543591976166,0.6157882213592529,-0.07363921403884888,15.867839813232422,0.9917399883270264,0.9968570510391146,0.022520828992128372,0.0224961806088686,-0.001095669204103214
64,16,1,0.1,1,0.02305646739900112,4.0,0.07930135726928711,0.15547601878643036,0.2940620481967926,0.6216543316841125,-0.08286154270172119,15.821966171264648,0.9888728857040405,0.996382846031338,0.02313629910349846,0.02310880273580551,-0.001189865009825609
64,16,1,0.1,2,0.023255188167095184,4.0,0.0831882581114769,0.16322216391563416,0.3118564784526825,0.6429368853569031,-0.10817039012908936,15.711464881896973,0.9819665551185608,0.9970455246511847,0.023164300248026848,0.023139232769608498,-0.0010833318388134248
64,16,2,0.1,0,0.024802087396383284,4.0,0.0970599353313446,0.19243651628494263,0.34812963008880615,0.6825390458106995,-0.16370105743408203,15.347070693969727,0.9591919183731079,0.9972358446102589,0.02396560274064541,0.0239472184330225,-0.0007677008499888924
64,16,2,0.1,1,0.0248524434119463,4.0,0.0966205969452858,0.19178062677383423,0.35689836740493774,0.6972512602806091,-0.18422812223434448,15.160632133483887,0.9475395083427429,0.9974213181994855,0.02470296062529087,0.024684730917215347,-0.0007385010900726052
64,16,2,0.1,2,0.024661977738142014,4.0,0.0977090448141098,0.18624721467494965,0.34305423498153687,0.6544164419174194,-0.14159715175628662,15.490182876586914,0.9681364297866821,0.9970090365968645,0.024029316380620003,0.024009941145777702,-0.0008069668582273508
64,16,3,0.1,0,0.0270428404211998,4.0,0.11612854152917862,0.23096993565559387,0.38686907291412354,0.7171709537506104,-0.22654873132705688,14.686644554138184,0.9179152846336365,0.9938845378346741,0.026650445535779,0.026649225503206253,-4.578114717773014e-05
64,16,3,0.1,1,0.028117108643054962,4.0,0.12614908814430237,0.2228960394859314,0.4069756865501404,0.7220062017440796,-0.24198025465011597,14.419174194335938,0.9011983871459961,0.9952682037837803,0.02775120735168457,0.027746936306357384,-0.00015392848207617
64,16,3,0.1,2,0.02772110126912594,4.0,0.10659708082675934,0.20828679203987122,0.409315824508667,0.7626754641532898,-0.27379536628723145,14.133648872375488,0.883353054523468,0.9952318170107901,0.027101948857307434,0.027094800025224686,-0.00026384507129199294
64,16,4,0.1,0,0.02956745810806751,4.0,0.15331341326236725,0.30449753999710083,0.4660797119140625,0.7690004110336304,-0.3215070962905884,13.431591987609863,0.8394744992256165,0.9910633955150843,0.029607445001602173,0.029619533568620682,0.0004081280655288588
64,16,4,0.1,1,0.030043326653540134,4.0,0.12353482842445374,0.22606468200683594,0.4154556393623352,0.7792849540710449,-0.2947063446044922,13.870857238769531,0.8669285774230957,0.9854410719126463,0.029689686372876167,0.029678599908947945,-0.00037355064682056233
64,16,4,0.1,2,0.029235561154782774,4.0,0.24037697911262512,0.4200856685638428,0.6329663991928101,0.8758934140205383,-0.5061699151992798,10.337608337402344,0.6461005210876465,0.9950929037295282,0.02871447429060936,0.028716804459691048,8.114302110210439e-05
64,24,1,0.1,0,0.020634929239749907,2.6666666666666665,0.06880190968513489,0.13723880052566528,0.2519294023513794,0.639241099357605,-0.1446358561515808,23.184635162353516,0.9660264650980631,0.9966250117868185,0.01958010531961918,0.019535735249519348,-0.0022712248513233604
64,24,1,0.1,1,0.020240741483867168,2.6666666666666665,0.07854580879211426,0.15188392996788025,0.25568780303001404,0.6374168395996094,-0.14434301853179932,23.097232818603516,0.9623847007751465,0.996717642294243,0.01978071965277195,0.019744331017136574,-0.0018429906373574802
64,24,1,0.1,2,0.02053377341479063,2.6666666666666665,0.06792066991329193,0.13259798288345337,0.23671485483646393,0.6321461200714111,-0.1317320466041565,23.33841323852539,0.972433884938558,0.9963453800883144,0.01951516792178154,0.019469501450657845,-0.002345537598076318
