n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,seed
64,16,2,0.15,4.0,0.9961955491453409,-0.0008174493765101592,0.036601513624191284,0.03657161816954613,0.36637628078460693,0
64,16,2,0.15,4.0,0.9970835540443659,-0.00040655928848431155,0.037455104291439056,0.03743988275527954,0.2813762426376343,1
64,16,2,0.15,4.0,0.9966704181861132,-0.0006177670827455519,0.03635469451546669,0.03633224964141846,0.26886075735092163,2
64,24,2,0.15,2.6666666666666665,0.9966259417124093,-0.0009734977021456085,0.034500692039728165,0.03446713835000992,0.30808037519454956,0
64,24,2,0.15,2.6666666666666665,0.9963325390126556,-0.0010207479607906736,0.03619683161377907,0.03615992143750191,0.31019389629364014,1
64,24,2,0.15,2.6666666666666665,0.9969237705226988,-0.0008975476152570069,0.036046385765075684,0.03601406142115593,0.3414570987224579,2
64,32,2,0.15,2.0,0.9964196516666561,-0.0011617068222512402,0.03353649750351906,0.033497583121061325,0.31190258264541626,0
64,32,2,0.15,2.0,0.9963371411431581,-0.000917674904101972,0.035670939832925797,0.0356382355093956,0.3188329041004181,1
64,32,2,0.15,2.0,0.9968134816735983,-0.0008852686065776026,0.03513495624065399,0.03510387986898422,0.3577912449836731,2
64,4,2,0.2,16.0,0.9925543847493827,9.593433716270541e-05,0.05327192693948746,0.05327703803777695,0.3735629618167877,0
64,4,2,0.2,16.0,0.9942965083755553,0.00035083004326980587,0.05447503551840782,0.05449415370821953,0.36421188712120056,1
64,4,2,0.2,16.0,0.9945783005096018,0.0003329941239682132,0.05286453664302826,0.05288214609026909,0.3481549620628357,2
64,6,2,0.2,10.666666666666666,0.9938011323101819,-0.00016441486494935808,0.051464468240737915,0.05145600810647011,0.25751936435699463,0
64,6,2,0.2,10.666666666666666,0.9941938081756234,4.1704255214415396e-05,0.052521713078022,0.0525239035487175,0.25446709990501404,1
64,6,2,0.2,10.666666666666666,0.9946996816433966,-0.000279372010783825,0.05116548016667366,0.05115118995308876,0.2892586588859558,2
64,8,2,0.2,8.0,0.9968099545221776,-0.0003998428272764045,0.049781378358602524,0.04976148158311844,0.3086508810520172,0
64,8,2,0.2,8.0,0.9959406042471528,2.329267326432057e-05,0.05085781589150429,0.0508590005338192,0.2282380610704422,1
64,8,2,0.2,8.0,0.9975722783710808,-0.0003733294487227879,0.05013102665543556,0.050112318247556686,0.3774123191833496,2
64,12,2,0.2,5.333333333333333,0.996684106066823,-0.0006736812754363292,0.04882185906171799,0.04878899082541466,0.3053981065750122,0
64,12,2,0.2,5.333333333333333,0.9968961351551116,-0.0005533620423291155,0.04937361180782318,0.049346305429935455,0.3083164393901825,1
64,12,2,0.2,5.333333333333333,0.9965066066943109,-0.00047556098986679447,0.04786171019077301,0.0478389598429203,0.2850662171840668,2
64,16,2,0.2,4.0,0.9964501897338778,-0.0006142563802836912,0.04777682572603226,0.047747496515512466,0.3424035608768463,0
64,16,2,0.2,4.0,0.9970881112385541,-0.0005457499350380752,0.048798393458127975,0.048771776258945465,0.26847773790359497,1
64,16,2,0.2,4.0,0.9969128053635359,-0.0006112606772888506,0.04633993282914162,0.046311624348163605,0.27228161692619324,2
64,24,2,0.2,2.6666666666666665,0.9968339765910059,-0.0009678240553990874,0.04461617022752762,0.04457303136587143,0.29394251108169556,0
64,24,2,0.2,2.6666666666666665,0.9969940378796309,-0.0007428356753367426,0.04756205901503563,0.047526754438877106,0.3084304630756378,1
64,24,2,0.2,2.6666666666666665,0.997059436282143,-0.0007768699706542939,0.04565749689936638,0.04562205448746681,0.31023064255714417,2
64,32,2,0.2,2.0,0.9967107062693685,-0.0010636883908870783,0.043508999049663544,0.04346276819705963,0.27617311477661133,0
64,32,2,0.2,2.0,0.9961567975115031,-0.0010528331954859596,0.04704580828547478,0.046996328979730606,0.2903989851474762,1
64,32,2,0.2,2.0,0.9974182092119008,-0.0006194504508321035,0.04588410258293152,0.045855697244405746,0.36130857467651367,2
64,4,2,0.3,16.0,0.9941186672076583,-0.00020352913724831794,0.07304571568965912,0.07303085178136826,0.356478214263916,0
64,4,2,0.3,16.0,0.9969209339469671,-6.045464923703729e-05,0.07370344549417496,0.073698990046978,0.3440466523170471,1
